corp_code,corp_name,corp_name_norm,stock_code,source
00360364,게르마니셀로이드코리아,게르마니셀로이드코리아,,DART:corpCode
00366720,청우제강,청우제강,,DART:corpCode
00273536,필리아텔레콤,필리아텔레콤,,DART:corpCode
00443375,진도개발,진도개발,,DART:corpCode
00447511,만남과축복,만남과축복,,DART:corpCode
00403872,영상산업,영상산업,,DART:corpCode
00441757,쌈솔,쌈솔,,DART:corpCode
00445221,링크테크21,링크테크21,,DART:corpCode
00448769,건화메디팜,건화메디팜,,DART:corpCode
00351357,윈윈창업투자,윈윈창업투자,,DART:corpCode
00371333,지티웹코리아,지티웹코리아,,DART:corpCode
00392716,트랜스미디어매니지먼트,트랜스미디어매니지먼트,,DART:corpCode
00424398,남성유통,남성유통,,DART:corpCode
00380322,무지개유동화전문유한회사,무지개유동화전문유한회사,,DART:corpCode
00387264,엘지화학제일차유동화전문유한회사,LG화학제일차유동화전문유한회사,,DART:corpCode
00425379,페가수스캐피탈아시아,페가수스캐피탈아시아,,DART:corpCode
00421595,한솔케미언스제일차유동화전문유한회사,한솔케미언스제일차유동화전문유한회사,,DART:corpCode
00128564,삼천리M&C,삼천리M&C,,DART:corpCode
00304757,넥스트디앤드에스,넥스트디앤드에스,,DART:corpCode
00407142,드림라인제일차유동화전문유한회사,드림라인제일차유동화전문유한회사,,DART:corpCode
00408044,동국산업제일차유동화전문유한회사,동국산업제일차유동화전문유한회사,,DART:corpCode
00112387,휴먼이노텍,휴먼이노텍,,DART:corpCode
00423539,자도,자도,,DART:corpCode
00103981,광전자INT,광전자INT,,DART:corpCode
00416478,굿케이디비제삼차유동화전문유한회사,굿케이DB제삼차유동화전문유한회사,,DART:corpCode
00418801,신엑스퍼트유동화전문,신엑스퍼트유동화전문,,DART:corpCode
00419332,비발디제일차유동화전문유한회사,비발디제일차유동화전문유한회사,,DART:corpCode
00418078,두산위브유동화전문유한회사,두산위브유동화전문유한회사,,DART:corpCode
00419651,코오롱폴리스유동화전문유한회사,코오롱폴리스유동화전문유한회사,,DART:corpCode
00251695,메디캐피탈,메디캐피탈,,DART:corpCode
